标记	英文	音标	中文
	pet	pet	n.宠物, 受宠爱的人, 不悦adj.宠爱的, 亲昵的vt.宠爱vi.拥抱, 爱抚, 生气, 发脾气
	petition	pi5tiFEn	n.请愿, 情愿书, 诉状, 陈情书v.请求, 恳求, 请愿
	petrol	5petrEl	n.<英>汽油（=<美>gasoline）
	petroleum	pi5trEuliEm	n.石油
	petty	5peti	adj.小的, 不重要的, 小规模的, 小型的, 细微的, 小器的, 卑鄙的
	pharmacy	5fB:mEsi	n.药房, 药剂学, 配药业, 制药业, 一批备用药品
	phase	feiz	n.阶段, 状态, 相, 相位v.定相
	phenomenon	fi5nCminEn	n.现象
	philosopher	fi5lCsEfE	n.哲学家, 哲人
	philosophy	fi5lCsEfi	n.哲学, 哲学体系, 达观, 冷静
	phone	fEun	n.电话, 电话机v.(给...)打电话
	photo	5fEutEu	n.照片
	photograph	5fEutE^rB:f, -^rAf	n.照片
	phrase	freiz	n.短语, 习语, 惯用语, 成语, 措词vt.用短语表达
	physical	5fizikEl	adj.身体的, 物质的, 自然的, 物理的n.体格检查
	physician	fi5ziFEn	n.医师, 内科医师
	physicist	5fIzIsIst	n.物理学者, 唯物论者
	physics	5fiziks	n.物理学
	physiology	7fizi5ClEdVi	n.生理学
	piano	pi5B:nEu, 5pjB:-	n.钢琴
	pick	pik	n.精选, 掘, 鹤嘴锄vt.摘, 掘, 凿, 挑选, 挖, 挑剔vi.摘, 掘, 凿, 挖, 挑选v.拾取
	pickup	5pikQp	n.拾起, 获得
	picnic	5piknik	n.野餐vi.(去)野餐
	picture	5piktFE	n.画, 图画, 照片, 像, 美景, 描述, 相似物, 化身vt.画, 描绘
	pie	pai	n.馅饼, 杂乱, 喜鹊, 爱说话的人vt.弄乱
	piece	pi:s	n.块, 件, 片, 篇, 张, 条, 硬币vt.接合, 修补, 凑合
	pierce	piEs	vt.刺穿, 刺破, 穿透, 突破, 深深感动
	pig	pi^	n.猪, 猪肉, 贪婪的人v.生小猪, 贪婪地吃
	pigeon	5pidVin	n.鸽子
	pile	pail	n.堆, 大堆, 高大建筑, <美口>大量钱财, <美>[核]反应堆, [电]电池组vi.堆起, 堆积, 积累, 挤vt.堆于, 累积, 堆叠, 打桩于, 用桩支撑
	pilgrim	5pil^rim	n.圣地朝拜者, 朝圣
	pill	pil	n.药丸, 口服避孕药, 弹丸
	pillar	5pilE	n.[建] 柱子, 栋梁, 重要的支持者
	pillow	5pilEu	n.枕头, 枕垫
	pilot	5pailEt	n.飞行员, 领航员, 引水员vt.驾驶(飞机等), 领航, 引水v.驾驶
	pin	pin	n.钉, 销, 栓, 大头针, 别针, 腿vt.钉住, 别住, 阻止, 扣牢, 止住, 牵制
	pinch	pintF	n.捏, 撮, 收缩, 紧急关头, 匮乏, 压力vt.掐, 夹痛, 修剪, 勒索, 使感缺乏, 使萎缩, 偷vi.收缩, 节省
	pine	pain	n.松树, 树木v.消瘦, 憔悴, 渴望, 渴慕
	pink	piNk	n.粉红色, 石竹花, 化身, 极致, 精华adj.粉红的vt.刺, 扎, 刺痛, 使变粉红色vi.变粉红色
	pint	paint	n.品脱
	pioneer	7paiE5niE	n.先驱, 倡导者, 先遣兵, 先锋
	pipe	paip	n.管, 导管, 烟斗, 管乐器, 笛声vt.以管输送, 吹哨子vi.吹笛, 尖叫
	pirate	5paiErit	n.海盗, 盗印者, 盗版者, 侵犯专利权者vt.盗印, 盗版, 掠夺, 翻印vi.做海盗
	pistol	5pistl	n.手枪
	piston	5pistEn	n.[机]活塞, 瓣
	pit	pit	n.深坑, 深渊, 陷阱, （物体或人体表面上的）凹陷, (英国剧场的)正厅后排、正厅后排的观众vt.窖藏, 使凹下, 去...之核, 使留疤痕, 使竞争vi.起凹点, 凹陷
	pitch	pitF	n.程度, 斜度, 树脂, 投掷, 定调, (船只)前后颠簸, 倾斜, 沥青vt.投, 掷, 向前倾跌, 定位于, 用沥青涂, 扎营vi.搭帐篷, 投掷, 坠落, 倾斜
	pity	5piti	v.(觉得)可怜n.憾事, 怜悯, 同情
	place	pleis	n.地方, 地点, 位置, 职位, 处境, 住所, 地位vt.放置, 寄予, 任命vi.名次列前
	plague	plei^	n.瘟疫, 麻烦, 苦恼, 灾祸vt.折磨, 使苦恼, 使得灾祸
	plain	plein	n.平原, 草原adj.简单的, 明白的, 平常的, 清晰的, 普通的, 朴素的adv.清楚地n.[计] 无格式
	plan	plAn	n.计划, 设计图, 平面图vt.计划, 设计
	plane	plein	n.平面, 飞机, 水平, 程度, 刨adj.平的, 平面的v.刨, 刨平
	planet	5plAnIt	n.[天]行星
	plant	plB:nt	n.植物, 庄稼, 工厂, 车间, 设备vt.种植, 栽培, 培养, 安置vi.种植
	plantation	plAn5teiFEn	n.耕地, 种植园, 大农场, 森林, 人造林, 殖民
	plaster	5plB:stE	n.石膏, 灰泥, 膏药, 橡皮膏vt.涂以灰泥, 敷以膏药, 减轻, 粘贴, 重创
	plastic	5plAstik, plB:stik	n.塑胶, 可塑体, 塑料制品, 整形adj.塑胶的, 塑造的, 有可塑性的, 造形的, (外科)整形的
	plate	pleit	n.盘子, 金属板, 图版, 金银餐具vt.镀（金, 银等）, 电镀, 给...装钢板
	plateau	5plAtEu, plA5tEu	n.高地, 高原(上升后的)稳定水平(或时期、状态)
	platform	5plAtfC:m	n.(车站)月台, 讲台, 讲坛平台
	plausible	5plC:zEbl	adj.似是而非的
	play	plei	n.游戏, 比赛, 运动, 赌博, 剧本v.玩, 扮演, 播放, 进行比赛v.播放
	playground	5pleIgraJnd	n.运动场, 操场
	plea	pli:	n.恳求, 请求, 辩解, 藉口
	plead	pli:d	vi.辩护, 恳求vt.为...辩护, 借口, 托称
	pleasant	5plezEnt	adj.令人愉快的, 舒适的
	please	pli:z	adj.满足的vt.请v.使喜欢, 中...的意, 使满足, 取悦
	pleasure	5pleVE	n.愉快, 快乐, 乐事, 乐趣, 意志, 愿望
	pledge	pledV	n.保证, 誓言, 抵押, 抵押品vt.保证, 使发誓, 抵押, 典当, 举杯祝...健康
	plentiful	5plentiful	adj.许多的, 大量的, 丰富的, 丰饶的
	plenty	5plenti	n.丰富, 大量
	plight	plait	n.情况, 状态, 困境, 盟誓(婚姻)vt.保证, 约定
	plot	plCt	n.小块土地, 地区图, 图, 秘密计划(特指阴谋), (小说的)情节.结构vt.划分, 绘图, 密谋vi.密谋, 策划
	plough	plau	n.犁v.耕, 犁, 犁耕, 费力穿过, 艰苦前进, 在考试中淘汰
	plow	plau	n.犁v.耕, 犁, 犁耕, 费力穿过, 艰苦前进, 在考试中淘汰
	plug	plQ^	vt.堵, 塞, 插上, 插栓n.塞子, 插头, 插销
	plumber	5plQmbE	n.水管工人
	plunge	plQndV	n.跳进, 投入vi.投入, 跳进, 陷入vt.使投入, 使插入, 使陷入
	plural	5pluErEl	adj.复数的
	plus	plQs	prep.加上adj.正的, 加的
	pneumonia	nju(:)5mEunjE	n.[医] 肺炎
	pocket	5pCkit	n.衣袋, 口袋, 钱, 财vt.装...在口袋里, 隐藏(感情), 据为己有, 击...入袋adj.袖珍的, 小型的
	poem	5pEuim, 5pEuem	n.诗, 象诗一样, 美丽的东西
	poet	5pEuit, 5pEuet	n.诗人
	poetry	5pEuitri, 5pEuetri	n.诗, 作诗法, 诗意, 诗情
	point	pCInt	n.点, 尖端, 分数, 要点, 分数vt.弄尖, 指向, 指出, 瞄准, 加标点于vi.指, 指向, 表明
	poison	5pCizn	n.毒药, 败坏道德之事, 毒害vt.毒害, 败坏, 使中毒vi.放毒, 下毒
	poisonous	5pCiznEs	adj.有毒的
	poke	pEuk	n.刺, 戳, 懒汉, 袋子vt.戳, 捅, 拨开, 刺vi.戳, 刺, 捅, 伸出, 刺探, 闲荡
	polar	5pEulE	adj.[天]两极的, 极地的, 南辕北辙的, 南极的, (北极星似的)指引的, 极性的, 北极的n.极线, 极面
	pole	pEul	n.棒, 柱, 杆, 竿, 极, 磁极, 电极vt.用竿支撑, 用棒推vi.撑篙
	police	pE5li:s	n.警察队, 警察机关, 公安部门vt.管辖, 维持治安adj.警察的, 有关警察的
	policeman	pE5li:smEn	n.警察
	policy	5pClisi	n.政策, 方针
	polish	5pCliF	n.磨光, 光泽, 上光剂, 优雅, 精良vt.擦亮, 发亮, 磨光, 推敲vi.发亮, 变光滑adj.波兰的n.波兰人
	polite	pE5lait	adj.有礼貌的, 客气的, 有教养的, 文雅的
	political	pE5litikEl	adj.政治的, 行政上的
	politician	pCli5tiFEn	n.政治家, 政客
	politics	5pClitiks	n.政治, 政治学, 政纲, 政见
	poll	pEul	n.选举之投票, 民意测验v.投票, 获得选票, 选举中获得
	pollute	pE5lu:t, -5lju:t	vt.弄脏, 污染
	pollution	pE5lu:FEn, -5lju:-	n.污染, 玷污
	pond	pCnd	n.池塘v.筑成池塘
	ponder	5pCndE	v.沉思, 考虑
	pool	pu:l	n.池, 撞球, 联营, 石油层vt.合伙经营, 共享, 共有, 集中(钱、力量等), 采掘, 汇聚成vi.汇合成塘, 郁积, 联营
	poor	puE	adj.贫穷的, 可怜的, 乏味的, 卑鄙的
	pop	pCp	n.取出, 砰然声, 枪击, 流行乐曲, 流行艺术adj.流行的, 热门的, 通俗的vt.开枪打, 抛出, 取出, 突然伸出, 突然行动adv.突然, 砰地vi.发出爆裂声, 爆开, 射击, 突然出现, 瞪大n.<口>汽水
	pope	pu:p	n.罗马教皇, 主教, 蒲柏(1688-1744,英国诗人), 大腿上要害部位vt.打大腿上要害部位
	popular	5pCpjulE	adj.通俗的, 流行的, 受欢迎的
	population	7pCpju5leiFEn	n.人口
	porcelain	5pC:slin, -lein	n.瓷器, 瓷adj.瓷制的, 精美的, 脆的
	porch	pC:tF	n.门廊, 走廊
	pork	pC:k	n.猪肉, <美俚><粗>与(女子)性交
	port	pC:t	n.港口, 舱门, 左舷, 避风港, 枪眼vt.左转舵, 持(枪)vi.转舵左n.端口
	portable	5pC:tEbl	adj.轻便的, 手提(式)的, 便携式的
	porter	5pC:tE	n.守门人, 门房, 行李搬运工
	portion	5pC:FEn	n.一部分, 一分
	portrait	5pC:trit	n.肖像, 人像
	portray	pC:5trei	v.描绘
	pose	pEuz	n.姿势, 姿态v.(使...)摆好姿势, 形成, 引起, 造成vi.摆姿势, 佯装, 矫揉造作
	position	pE5ziFEn	n.位置, 职位, 立场, 形势, 阵地vt.安置, 决定...的位置
	positive	5pCzEtiv	adj.肯定的, 实际的, 积极的, 绝对的, 确实的adj.[数]正的adj.[电]阳的adj.[语法] 原级的
	possess	pE5zes	vt.占有, 拥有, 持有, 摆布, 支配
	possession	pE5zeFEn	n.拥有, 占有, 所有, 着迷, 领土, 领地, 财产(常用复数), 自制
	possibility	7pCsi5biliti	n.可能性, 可能发生的事物
	possible	5pCsEbl	adj.可能的, 可能存在或发生的
	possibly	5pCsEbli	adv.可能地, 或者
	post	pEJst	n.柱, 邮件, 岗位, 职位, 邮政vt.张贴, 揭示, 邮递, 布置vi.快速旅行adv.加速地abbr.[军] Passive Optical Seeker Technique, 被动光学自导的导弹技术
	postage	5pEustidV	n.邮资
	postcard	5pEJstkB:d	n.明信片, 风景明信片
	poster	5pEustE	n.海报, 招贴, (布告, 标语, 海报等的)张贴者
	postman	5pEJstmEn	n.邮差
	postpone	pEust5pEun	vt.推迟, 使延期, 延迟
	posture	5pCstFE	n.(身体的)姿势, 体态, 状态, 情况, 心境, 态度v.令取某种姿势, 摆姿势, 作出姿态
	pot	pCt	n.罐, 壶v.罐装
	potato	pE5teitEu	n.马铃薯
	potential	pE5tenF(E)l	adj.潜在的, 可能的, 势的, 位的n.潜能, 潜力, 电压
	poultry	5pEultri	n.家禽
	pound	paund	n.磅, 英镑, 重击, 鱼塘, 兽栏, 拘留所vt.强烈打击, 捣烂, 监禁, 关入栏vi.连续重击, 连续敲打, 苦干
	pour	pC:, pCE	v.灌注, 倾泻, 涌入, 流, 倾盆大雨
	poverty	5pCvEti	n.贫穷, 贫困, 贫乏, 缺少
	powder	5paudE	n.粉, 粉末, 火药, 尘土vt.搽粉于, 撒粉, 使成粉末vi.搽粉, 变成粉末
	power	5pauE	n.能力, 力量, 动力, 权力, [数]幂, [物]功率vt.使...有力量, 供以动力, 激励
	powerful	5pauEful	adj.强大的, 有力的
	practical	5prAktikEl	adj.实际的, 实践的, 实用的, 应用的, 有实际经验的
	practically	5prAktikEli	adv.实际上, 事实上, 在实践上adv.几乎, 简直
	practice	5prAktis	n.实行, 实践, 实际, 惯例, 习惯, 练习, 实习, 开业
	practise	5prAktis	v.练习, 实习, 实践, 实行, 操持(专业等), 竭力想, 利用(某人之轻信等), 实施
	practitioner	prAk5tiFEnE	n.从业者, 开业者
	praise	preiz	vt.赞扬, 歌颂, 称赞n.赞扬, 赞美的话, 赞美, 荣耀, 称赞
	pray	prei	v.祈祷, 恳求, 请
	prayer	prZE	n.祈祷
	preach	pri:tF	v.鼓吹
	precaution	pri5kC:FEn	n.预防, 警惕, 防范
	precede	pri(:)5si:d	v.领先(于), 在...之前, 先于
	precedent	pri5si:dEnt	n.先例
	preceding	pri(:)5si:diN	adj.在前的, 前述的
	precious	5preFEs	adj.宝贵的, 贵重的, 珍爱的, 过于精致的, 珍爱的
	precise	pri5sais	adj.精确的, 准确的n.精确
	precision	pri5siVEn	n.精确, 精密度, 精度
	preclude	pri5klu:d	n.排除
	predecessor	5pri:disesE	n.前辈, 前任, (被取代的)原有事物
	predict	pri5dikt	v.预知, 预言, 预报
	predominant	pri5dCminEnt	adj.卓越的, 支配的, 主要的, 突出的, 有影响的
	preface	5prefis	n.序文, 绪言, 前言vi.作序, 写前言vt.为...写序言, 开始
	prefer	pri5fE:	vt.更喜欢, 宁愿
	preferable	5prefErEbl	adj.更可取的, 更好的, 更优越的
	preference	5prefErEns	n.偏爱, 优先选择
	pregnant	5pre^nEnt	adj.怀孕的, 重要的, 富有意义的, 孕育的
	prejudice	5predVudis	n.偏见, 成见, 损害, 侵害v.损害
	preliminary	pri5liminEri	adj.预备的, 初步的
	premier	5premjE, -miE	adj.第一的, 首要的n.总理
	premise	5premis	n.[逻][法]前提, (企业, 机构等使用的)房屋连地基vt.提论, 预述, 假定vi.作出前提
	premium	5primjEm	n.额外费用, 奖金, 奖赏, 保险费, (货币兑现的)贴水
	preparation	7prepE5reiFEn	n.准备, 预备
	prepare	pri5pZE	v.准备, 预备, 有能力而且愿意
	preposition	7prepE5ziFEn	n.前置词
	prescribe	pris5kraib	v.指示, 规定, 处(方), 开(药)
	prescription	pri5skripFEn	n.指示, 规定, 命令, 处方, 药方
	presence	5prezns	n.出席, 到场, 存在
	present	pri5zent	n.赠品, 礼物, 现在, 瞄准adj.现在的, 出席的, 当面的vt.介绍, 引见, 给, 赠送, 上演, 提出, 呈现vi.举枪瞄准
	presently	5prezEntli	adv.目前, 不久
	preserve	pri5zE:v	vt.保护, 保持, 保存, 保藏vi.做蜜饯, 禁猎n.蜜饯, 果酱, 禁猎地, 禁区, 防护物
	preside	pri5zaid	v.主持
	president	5prezidEnt	n.总统, 会长, 校长, 行长
	press	pres	n.压, 按, 印刷, 压力, 拥挤, 紧握, 新闻vt.压, 压榨, 紧抱, 逼迫vi.压, 逼迫, 拥挤, 受压
	pressure	`preFE(r)	n.压, 压力, 电压, 压迫, 强制, 紧迫
	prestige	pres5ti:V, -5ti:dV	n.声望, 威望, 威信
	presumably	prI5zju:mEbElI	adv.推测起来, 大概
	presume	pri5zju:m	vt.假定, 假设, 认为
	pretend	pri5tend	vt.假装, 装扮, (作为藉口或理由)伪称
	pretext	5pri:tekst	n.借口, 托辞v.借口
	pretty	5priti	adj.漂亮的, 可爱的, 优美的, 机灵的, 恰当的
	prevail	pri5veil	vi.流行, 盛行, 获胜, 成功
	prevalent	5prevElEnt	adj.普遍的, 流行的
	prevent	pri5vent	v.防止, 预防
	previous	5pri:vjEs	adj.在前的, 早先的adv.在...以前返回上一级菜单
	prey	prei	n.被掠食者, 牺牲者, 掠食vi.捕食, 掠夺, 折磨
	price	prais	n.价格, 价钱, 代价vt.给...定价, 问...的价格, 标明价格
	prick	prik	vt.刺, 戳, 刺痛, 竖起vi.刺, 竖起n.扎, 一刺, 刺痛, 锥, 阴茎adj.竖起的
	pride	praid	n.自豪, 自尊(心), 骄傲, 傲慢vt.使自豪, 使自夸
	priest	pri:st	n.牧师
	primary	5praimEri	adj.第一位的, 主要的, 初步的, 初级的, 原来的, 根源的
	prime	praim	n.最初, 青春, 精华adj.主要的, 最初的, 有青春活力的, 最好的, 第一流的, 根本的, [数]素数的v.预先准备好, <口>让人吃(喝)足, 灌注, 填装
	primitive	5primitiv	adj.原始的, 远古的, 粗糙的, 简单的
	prince	prins	n.王子
	princess	prin5ses, 5prinses	n.公主
	principal	5prinsEp(E)l, -sip-	n.负责人, 首长, 校长, 主犯, 本金adj.主要的, 首要的
	principle	5prinsEpl	n.法则, 原则, 原理
	print	prInt	n.版, 印刷物, 印迹, 印章, 印刷业, 照片v.印刷, 出版, 印于, 用印刷体写[计]打印
	prior	5praiE	adj.优先的, 在前的n.预先adv.在
	priority	prai5Criti	n.先, 前, 优先, 优先权
	prison	5prizn	n.监狱
	prisoner	5priznE	adj.囚犯的n.战俘
	privacy	5praivEsi	n.独处而不受干扰, 秘密
	private	5praivit	adj.私人的, 私有的, 私营的, 秘密的n.士兵
	privilege	5privilidV	n.特权, 特别待遇, 基本公民权力, 特免vt.给与...特权, 特免
	prize	praiz	n.奖赏, 奖金, 奖品, 捕获, 捕获物, 战利品adj.得奖的vt.珍视, 估价, 捕获, 撬, 撬开
	probability	7prCbE5biliti	n.可能性, 或然性, 概率
	probable	5prCbEbl	adj.很可能的, 大概的
	probe	prEub	n.探针, 探测器vt.(以探针等)探查, 查明
	problem	5prCblEm	n.问题, 难题
	procedure	prE5si:dVE	n.程序, 手续
	proceed	prE5si:d	vi.进行, 继续下去, 发生
	proceeding	prE5si:diN	n.行动, 进行,会议录, 学报
	process	prE5ses	n.过程, 作用, 方法, 程序, 步骤, 进行, 推移vt.加工, 处理
	procession	prE5seFEn, prEu-	n.行列, 队伍
	proclaim	prE5kleim	vt.宣布, 声明, 显示, 显露
	produce	prE5dju:s	n.产物, 农产品vt.提出, 出示, 生产, 制造, 结(果实), 引起, 招致, 创作
	product	5prCdEkt	n.产品, 产物, 乘积
	production	prE5dQkFEn	n.生产, 产品, 作品, (研究)成果
	productive	prE5dQktiv	adj.生产性的, 生产的, 能产的, 多产的
	productivity	7prCdQk5tiviti	n.生产力
	profession	prE5feFEn	n.职业, 专业, 表白, 宣布
	professional	prE5feFEnl	n.自由职业者, 专业人员, 职业运动员, 职业艺人adj.专业的, 职业的
	professor	prE5fesE	n.教授, 公开表示信仰的人
	proficiency	prE5fiFEnsi	n.熟练, 精通, 熟练程度
	profile	5prEufail	n.剖面, 侧面, 外形, 轮廓
	profit	5prCfit	n.利润, 益处, 得益vi.得益, 利用vt.有益于, 有利于
	profitable		adj.有利可图的
	profound	prE5faund	adj.深刻的, 意义深远的, 渊博的, 造诣深的
	program	5prEu^rAm	n.节目, 程序, 纲要, 计划vt.规划, 拟...计划, 安排...入节目vi.安排节目, 编程序(电脑)程序,(电视)节目
	programme	5prEu^rAm	n.v.=program 程序, 编程
	progress	5prEu^res	n.前进, 进步, 发展vi.前进, 进步, 进行
	progressive	prE5^resiv	n.改革论者, 进步论者adj.前进的, (税收)累进的, 进步的
	prohibit	prE5hibit	vt.禁止, 阻止
	project	5prCdVekt	n.计划, 方案, 事业, 企业, 工程v.设计, 计划, 投射, 放映, 射出, 发射(导弹等), 凸出
	projector	prE5dVektE	n.放映机
	prolong	prE5lCN	vt.延长, 拖延
	prominent	5prCminEnt	adj.卓越的, 显著的, 突出的
	promise	5prCmis	vt.允诺, 答应n.允诺, 答应, 许诺
	promising	5prCmisiN	adj.有希望的, 有前途的
	promote	prE5mEut	vt.促进, 发扬, 提升, 提拔, 晋升为
	prompt	prCmpt	n.提示, 付款期限vt.提示, 鼓动, 促使, (给演员)提白adj.敏捷的, 迅速的, 即时的adv.准时地n.DOS命令：改变DOS系统提示符的风格
	prone	prEun	adj.倾向于
	pronoun	5prEunaun	n.代名词
	pronounce	prE5nauns	v.发音, 宣告, 断言
	pronunciation	prE7nQnsi5eiFEn	n.发音, 读法
	proof	pru:f	n.证据, 试验, 考验, [印刷]校样adj.不能透入的, 证明用的, 防...的, 有耐力的vt.检验, 校对, 使不被穿透
	propaganda	7prCpE5^AndE	n.宣传, [天主教]传道总会
	propel	prE5pel	vt.推进, 驱使
	proper	5prCpE	adj.适当的, 正确的, 固有的, 特有的, 有礼貌的, 正当的, 严格意义上的, 彻底的
	property	5prCpEti	n.财产, 所有物, 所有权, 性质, 特性, (小)道具
	prophet	5prCfit	n.先知, 预言者, 提倡者
	proportion	prE5pC:FEn	n.比例, 均衡, 面积, 部分vt.使成比例, 使均衡, 分摊
	proposal	prE5pEuzEl	n.提议, 建议
	propose	prE5pEuz	vt.计划, 建议, 向...提议, 求(婚)vi.打算, 求婚
	proposition	7prCpE5ziFEn	n.主张, 建议, 陈述, 命题
	prose	prEuz	n.散文
	prosecute	5prCsikju:t	vt.实行, 从事, 告发, 起诉vi.告发, 起诉, 作检察官
	prospect	5prCspekt	n.景色, 前景, 前途, 期望vi.寻找, 勘探
	prospective	prEs5pektiv	adj.预期的
	prosper	5prCspE	v.成功, 兴隆, 昌盛, (指上帝)使成功, 使昌隆, 繁荣
	prosperity	prCs5periti	n.繁荣
	prosperous	5prCspErEs	adj.繁荣的
	protect	prE5tekt	vt.保护
	protein	5prEuti:n	n.[生化]蛋白质adj.蛋白质的
	protest	prE5test	n.主张, 断言, 抗议v.主张, 断言抗议, 拒付
	prototype	5prEutEtaip	n.原型
	proud	praud	adj.自豪的, 得意的, 骄傲的, 妄自尊大的
	prove	pru:v	vt.证明, 证实, 检验, 考验vi.原来(是), 证明(是)
	provide	prE5vaid	v.供应, 供给, 准备, 预防, 规定
	provided	prE:5vaidid	conj.倘若
	province	5prCvins	n.省(一个国家的大行政区)
	provision	prE5viVEn	n.供应, (一批)供应品, 预备, 防备, 规定
	provoke	prE5vEuk	vt.激怒, 挑拨, 煽动, 惹起, 驱使
	prudent	5pru:dEnt	adj.谨慎的
	psychiatry	sai5kaiEtri	n.精神病学, 精神病治疗法
	psychology	sai5kClEdVi	n.心理学, 心理状态
	pub	pQb	n.酒馆, 客栈
	public	5pQblik	n.公众, (特定的)人群, 公共场所adj.公众的, 公共的, 公立的, 公用的
	publication	7pQbli5keiFEn	n.出版物, 出版, 发行, 公布, 发表
	publicity	pQb5lisiti	n.公开
	publish	5pQbliF	v.出版, 刊印vt.公布, 发表
